Year,Indicator,ISO,Country,Breakdown,Unit of measure,Value
2005,Public spending on active labour market policies,FRA,France,Employment incentives,Share of GDP,0.1
2006,Public spending on active labour market policies,FRA,France,Employment incentives,Share of GDP,0.1
2001,Public spending on active labour market policies,FRA,France,Employment incentives,Share of GDP,0.13
2019,Public spending on active labour market policies,FRA,France,Employment incentives,Share of GDP,0.02
2007,Public spending on active labour market policies,FRA,France,Employment incentives,Share of GDP,0.09
2008,Public spending on active labour market policies,FRA,France,Employment incentives,Share of GDP,0.07
2009,Public spending on active labour market policies,FRA,France,Employment incentives,Share of GDP,0.06
2010,Public spending on active labour market policies,FRA,France,Employment incentives,Share of GDP,0.06
1998,Public spending on active labour market policies,FRA,France,Employment incentives,Share of GDP,0.2
2017,Public spending on active labour market policies,FRA,France,Employment incentives,Share of GDP,0.04
2018,Public spending on active labour market policies,FRA,France,Employment incentives,Share of GDP,0.03
2003,Public spending on active labour market policies,FRA,France,Employment incentives,Share of GDP,0.08
1999,Public spending on active labour market policies,FRA,France,Employment incentives,Share of GDP,0.2
2011,Public spending on active labour market policies,FRA,France,Employment incentives,Share of GDP,0.03
2012,Public spending on active labour market policies,FRA,France,Employment incentives,Share of GDP,0.03
2013,Public spending on active labour market policies,FRA,France,Employment incentives,Share of GDP,0.03
1993,Public spending on active labour market policies,FRA,France,Employment incentives,Share of GDP,0.17
2000,Public spending on active labour market policies,FRA,France,Employment incentives,Share of GDP,0.15
2002,Public spending on active labour market policies,FRA,France,Employment incentives,Share of GDP,0.11
1992,Public spending on active labour market policies,FRA,France,Employment incentives,Share of GDP,0.13
1995,Public spending on active labour market policies,FRA,France,Employment incentives,Share of GDP,0.22
1996,Public spending on active labour market policies,FRA,France,Employment incentives,Share of GDP,0.27
1997,Public spending on active labour market policies,FRA,France,Employment incentives,Share of GDP,0.29
1994,Public spending on active labour market policies,FRA,France,Employment incentives,Share of GDP,0.2
1989,Public spending on active labour market policies,FRA,France,Employment incentives,Share of GDP,0.05
1990,Public spending on active labour market policies,FRA,France,Employment incentives,Share of GDP,0.08
1986,Public spending on active labour market policies,FRA,France,Employment incentives,Share of GDP,0.05
1987,Public spending on active labour market policies,FRA,France,Employment incentives,Share of GDP,0.11
1991,Public spending on active labour market policies,FRA,France,Employment incentives,Share of GDP,0.1
2015,Public spending on active labour market policies,FRA,France,Start-up incentives,Share of GDP,0.04
2016,Public spending on active labour market policies,FRA,France,Start-up incentives,Share of GDP,0.04
1988,Public spending on active labour market policies,FRA,France,Start-up incentives,Share of GDP,0.03
2014,Public spending on active labour market policies,FRA,France,Start-up incentives,Share of GDP,0.05
2020,Public spending on active labour market policies,FRA,France,Start-up incentives,Share of GDP,0.04
2022,Public spending on active labour market policies,FRA,France,Start-up incentives,Share of GDP,0.03
1985,Public spending on active labour market policies,FRA,France,Start-up incentives,Share of GDP,0.04
2021,Public spending on active labour market policies,FRA,France,Start-up incentives,Share of GDP,0.03
2004,Public spending on active labour market policies,FRA,France,Start-up incentives,Share of GDP,0
2005,Public spending on active labour market policies,FRA,France,Start-up incentives,Share of GDP,0
2006,Public spending on active labour market policies,FRA,France,Start-up incentives,Share of GDP,0.01
2001,Public spending on active labour market policies,FRA,France,Start-up incentives,Share of GDP,0
2019,Public spending on active labour market policies,FRA,France,Start-up incentives,Share of GDP,0.04
2007,Public spending on active labour market policies,FRA,France,Start-up incentives,Share of GDP,0.03
2008,Public spending on active labour market policies,FRA,France,Start-up incentives,Share of GDP,0.03
2009,Public spending on active labour market policies,FRA,France,Start-up incentives,Share of GDP,0.04
2010,Public spending on active labour market policies,FRA,France,Start-up incentives,Share of GDP,0.06
1998,Public spending on active labour market policies,FRA,France,Start-up incentives,Share of GDP,0
2017,Public spending on active labour market policies,FRA,France,Start-up incentives,Share of GDP,0.04
2018,Public spending on active labour market policies,FRA,France,Start-up incentives,Share of GDP,0.04
2003,Public spending on active labour market policies,FRA,France,Start-up incentives,Share of GDP,0
1999,Public spending on active labour market policies,FRA,France,Start-up incentives,Share of GDP,0
2011,Public spending on active labour market policies,FRA,France,Start-up incentives,Share of GDP,0.06
2012,Public spending on active labour market policies,FRA,France,Start-up incentives,Share of GDP,0.06
2013,Public spending on active labour market policies,FRA,France,Start-up incentives,Share of GDP,0.05
1993,Public spending on active labour market policies,FRA,France,Start-up incentives,Share of GDP,0.02
2000,Public spending on active labour market policies,FRA,France,Start-up incentives,Share of GDP,0
2002,Public spending on active labour market policies,FRA,France,Start-up incentives,Share of GDP,0
1992,Public spending on active labour market policies,FRA,France,Start-up incentives,Share of GDP,0.02
1995,Public spending on active labour market policies,FRA,France,Start-up incentives,Share of GDP,0.04
1996,Public spending on active labour market policies,FRA,France,Start-up incentives,Share of GDP,0.02
1997,Public spending on active labour market policies,FRA,France,Start-up incentives,Share of GDP,0
1994,Public spending on active labour market policies,FRA,France,Start-up incentives,Share of GDP,0.03
1989,Public spending on active labour market policies,FRA,France,Start-up incentives,Share of GDP,0.03
1990,Public spending on active labour market policies,FRA,France,Start-up incentives,Share of GDP,0.02
1986,Public spending on active labour market policies,FRA,France,Start-up incentives,Share of GDP,0.04
1987,Public spending on active labour market policies,FRA,France,Start-up incentives,Share of GDP,0.04
1991,Public spending on active labour market policies,FRA,France,Start-up incentives,Share of GDP,0.02
2015,Public spending on active labour market policies,FRA,France,Training,Share of GDP,0.28
2016,Public spending on active labour market policies,FRA,France,Training,Share of GDP,0.32
1988,Public spending on active labour market policies,FRA,France,Training,Share of GDP,0.38
2014,Public spending on active labour market policies,FRA,France,Training,Share of GDP,0.29
2020,Public spending on active labour market policies,FRA,France,Training,Share of GDP,0.28
2022,Public spending on active labour market policies,FRA,France,Training,Share of GDP,0.35
1985,Public spending on active labour market policies,FRA,France,Training,Share of GDP,0.32
2021,Public spending on active labour market policies,FRA,France,Training,Share of GDP,0.34
2004,Public spending on active labour market policies,FRA,France,Training,Share of GDP,0.31
2005,Public spending on active labour market policies,FRA,France,Training,Share of GDP,0.3
2006,Public spending on active labour market policies,FRA,France,Training,Share of GDP,0.28
2001,Public spending on active labour market policies,FRA,France,Training,Share of GDP,0.33
2019,Public spending on active labour market policies,FRA,France,Training,Share of GDP,0.25
2007,Public spending on active labour market policies,FRA,France,Training,Share of GDP,0.27
2008,Public spending on active labour market policies,FRA,France,Training,Share of GDP,0.25
2009,Public spending on active labour market policies,FRA,France,Training,Share of GDP,0.33
2010,Public spending on active labour market policies,FRA,France,Training,Share of GDP,0.33
1998,Public spending on active labour market policies,FRA,France,Training,Share of GDP,0.42
2017,Public spending on active labour market policies,FRA,France,Training,Share of GDP,0.29
2018,Public spending on active labour market policies,FRA,France,Training,Share of GDP,0.25
2003,Public spending on active labour market policies,FRA,France,Training,Share of GDP,0.31
1999,Public spending on active labour market policies,FRA,France,Training,Share of GDP,0.39
2011,Public spending on active labour market policies,FRA,France,Training,Share of GDP,0.31
2012,Public spending on active labour market policies,FRA,France,Training,Share of GDP,0.29
